name,wiki_url
Robert Mugabe,https://en.wikipedia.org/wiki/Robert_Mugabe
Vlad III,https://en.wikipedia.org/wiki/Vlad_the_Impaler
Kim Jong-Il,https://en.wikipedia.org/wiki/Kim_Jong-il
Idi Amin Dada,https://en.wikipedia.org/wiki/Idi_Amin
Emperor Hirohito,https://en.wikipedia.org/wiki/Hirohito
Koki Hirota,https://en.wikipedia.org/wiki/K%C5%8Dki_Hirota
Leonid Ilyich Brezhnev,https://en.wikipedia.org/wiki/Leonid_Brezhnev
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek
Kaiser Wilhelm II,"https://en.wikipedia.org/wiki/Wilhelm_II,_German_Emperor"
Ho Chi Minh,https://en.wikipedia.org/wiki/Ho_Chi_Minh
Yakubu Gowon,https://en.wikipedia.org/wiki/Yakubu_Gowon
Mengistu Haile Mariam,https://en.wikipedia.org/wiki/Mengistu_Haile_Mariam
Kim Il-Sung,https://en.wikipedia.org/wiki/Kim_Il-sung
Saddam Hussein,https://en.wikipedia.org/wiki/Saddam_Hussein
Ismail Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha
Omar al-Bashir,https://en.wikipedia.org/wiki/Omar_al-Bashir
Pol Pot,https://en.wikipedia.org/wiki/Pol_Pot
Yahya Khan,https://en.wikipedia.org/wiki/Yahya_Khan
Nicholas II,https://en.wikipedia.org/wiki/Nicholas_II_of_Russia
Hideki Tojo,https://en.wikipedia.org/wiki/Hideki_Tojo
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin
Leopold II of Belgium,https://en.wikipedia.org/wiki/Leopold_II_of_Belgium
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong
Benito Mussolini,https://en.wikipedia.org/wiki/Benito_Mussolini
Fidel Castro,https://en.wikipedia.org/wiki/Fidel_Castro
Bashar al-Assad,https://en.wikipedia.org/wiki/Bashar_al-Assad
Muammar al-Gaddafi,https://en.wikipedia.org/wiki/Muammar_Gaddafi
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
Timur Gurkani,https://en.wikipedia.org/wiki/Timur
Augusto Pinochet,https://en.wikipedia.org/wiki/Augusto_Pinochet
Mohammad Reza Pahlavi,https://en.wikipedia.org/wiki/Mohammad_Reza_Pahlavi
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei
Khorloogiin Choibalsan,https://en.wikipedia.org/wiki/Khorloogiin_Choibalsan
